dataset,model,seed,burden,n_alarmed,n_fail,ear,within_5,recall_5,within_7,recall_7,within_10,recall_10,within_15,recall_15,within_30,recall_30,within_60,recall_60,within_90,recall_90,within_180,recall_180,within_365,recall_365
HGST,LGBM,52,0.05,46,162,0.043898156277436345,0.10869565217391304,0.030864197530864196,0.15217391304347827,0.043209876543209874,0.1956521739130435,0.05555555555555555,0.2391304347826087,0.06790123456790123,0.32608695652173914,0.09259259259259259,0.391304347826087,0.1111111111111111,0.4782608695652174,0.13580246913580246,0.6739130434782609,0.19135802469135801,0.8913043478260869,0.25308641975308643
HGST,LGBM,53,0.01,7,162,0.006145741878841089,0.14285714285714285,0.006172839506172839,0.14285714285714285,0.006172839506172839,0.14285714285714285,0.006172839506172839,0.42857142857142855,0.018518518518518517,0.5714285714285714,0.024691358024691357,0.7142857142857143,0.030864197530864196,0.8571428571428571,0.037037037037037035,1.0,0.043209876543209874,1.0,0.043209876543209874
HGST,LGBM,53,0.05,49,162,0.04916593503072871,0.061224489795918366,0.018518518518518517,0.12244897959183673,0.037037037037037035,0.16326530612244897,0.04938271604938271,0.20408163265306123,0.06172839506172839,0.2857142857142857,0.08641975308641975,0.4489795918367347,0.13580246913580246,0.5306122448979592,0.16049382716049382,0.6938775510204082,0.20987654320987653,0.8775510204081632,0.2654320987654321
HGST,LGBM,54,0.05,44,162,0.048287971905179985,0.11363636363636363,0.030864197530864196,0.18181818181818182,0.04938271604938271,0.25,0.06790123456790123,0.2727272727272727,0.07407407407407407,0.36363636363636365,0.09876543209876543,0.45454545454545453,0.12345679012345678,0.5227272727272727,0.1419753086419753,0.6818181818181818,0.18518518518518517,0.7954545454545454,0.21604938271604937
HGST,LGBM,55,0.01,17,162,0.009657594381035996,0.23529411764705882,0.024691358024691357,0.23529411764705882,0.024691358024691357,0.35294117647058826,0.037037037037037035,0.4117647058823529,0.043209876543209874,0.5294117647058824,0.05555555555555555,0.5294117647058824,0.05555555555555555,0.5294117647058824,0.05555555555555555,0.7058823529411765,0.07407407407407407,0.8823529411764706,0.09259259259259259
HGST,LGBM,55,0.05,40,162,0.04916593503072871,0.05,0.012345679012345678,0.125,0.030864197530864196,0.2,0.04938271604938271,0.3,0.07407407407407407,0.325,0.08024691358024691,0.425,0.10493827160493827,0.525,0.12962962962962962,0.675,0.16666666666666666,0.875,0.21604938271604937
HGST,LGBM,56,0.01,11,162,0.006145741878841089,0.09090909090909091,0.006172839506172839,0.2727272727272727,0.018518518518518517,0.2727272727272727,0.018518518518518517,0.36363636363636365,0.024691358024691357,0.45454545454545453,0.030864197530864196,0.6363636363636364,0.043209876543209874,0.6363636363636364,0.043209876543209874,0.6363636363636364,0.043209876543209874,0.9090909090909091,0.06172839506172839
HGST,LGBM,56,0.05,45,162,0.04477611940298507,0.044444444444444446,0.012345679012345678,0.08888888888888889,0.024691358024691357,0.15555555555555556,0.043209876543209874,0.17777777777777778,0.04938271604938271,0.28888888888888886,0.08024691358024691,0.4444444444444444,0.12345679012345678,0.5333333333333333,0.14814814814814814,0.6222222222222222,0.1728395061728395,0.8666666666666667,0.24074074074074073
HGST,LGBM,57,0.01,15,162,0.009657594381035996,0.2,0.018518518518518517,0.3333333333333333,0.030864197530864196,0.4,0.037037037037037035,0.4,0.037037037037037035,0.5333333333333333,0.04938271604938271,0.5333333333333333,0.04938271604938271,0.5333333333333333,0.04938271604938271,0.7333333333333333,0.06790123456790123,0.8,0.07407407407407407
HGST,LGBM,57,0.05,54,162,0.04916593503072871,0.14814814814814814,0.04938271604938271,0.2037037037037037,0.06790123456790123,0.24074074074074073,0.08024691358024691,0.24074074074074073,0.08024691358024691,0.37037037037037035,0.12345679012345678,0.48148148148148145,0.16049382716049382,0.5370370370370371,0.17901234567901234,0.7222222222222222,0.24074074074074073,0.8888888888888888,0.2962962962962963
