dataset,model,seed,split,threshold_kind,threshold,N_on_time,N_early,N_missed,N_censored_early,N_censored_no_alarm,N_failed,N_censored,N_alarmed,precision,recall,f1,far,on_time_share,mean_lead_time,median_lead_time,std_lead_time
HGST_20HUH721212ALN604,GRU,53,test,row_opt,0.044,9,104,49,65,912,162,977,178,0.050562,0.055556,0.052941,0.06653,0.079646,314.38,222.0,299.58
HGST_20HUH721212ALN604,GRU,53,test,disk_opt,0.217,21,39,102,16,961,162,977,76,0.276316,0.12963,0.176471,0.016377,0.35,173.33,71.0,240.69
HGST_20HUH721212ALN604,GRU,54,val,row_opt,0.038,21,103,36,74,901,160,975,198,0.106061,0.13125,0.117318,0.075897,0.169355,287.1,211.5,282.11
HGST_20HUH721212ALN604,GRU,54,val,disk_opt,0.194,19,31,110,9,966,160,975,59,0.322034,0.11875,0.173516,0.009231,0.38,103.78,51.5,142.7
HGST_20HUH721212ALN604,GRU,54,test,row_opt,0.038,10,106,46,77,900,162,977,193,0.051813,0.061728,0.056338,0.078813,0.086207,312.96,222.0,308.3
HGST_20HUH721212ALN604,GRU,54,test,disk_opt,0.194,24,29,109,14,963,162,977,67,0.358209,0.148148,0.209607,0.01433,0.45283,121.09,43.0,192.83
HGST_20HUH721212ALN604,GRU,55,val,row_opt,0.033,18,103,39,71,904,160,975,192,0.09375,0.1125,0.102273,0.072821,0.14876,288.65,216.0,284.65
HGST_20HUH721212ALN604,GRU,55,val,disk_opt,0.131,20,45,95,9,966,160,975,74,0.27027,0.125,0.17094,0.009231,0.307692,148.95,76.0,186.31
HGST_20HUH721212ALN604,GRU,55,test,row_opt,0.033,11,105,46,77,900,162,977,193,0.056995,0.067901,0.061972,0.078813,0.094828,320.76,223.5,313.78
HGST_20HUH721212ALN604,GRU,55,test,disk_opt,0.131,26,43,93,21,956,162,977,90,0.288889,0.160494,0.206349,0.021494,0.376812,152.72,66.0,217.43
HGST_20HUH721212ALN604,GRU,56,val,row_opt,0.038,23,86,51,46,929,160,975,155,0.148387,0.14375,0.146032,0.047179,0.211009,249.85,164.0,285.67
HGST_20HUH721212ALN604,GRU,56,val,disk_opt,0.139,13,47,100,9,966,160,975,69,0.188406,0.08125,0.113537,0.009231,0.216667,140.33,78.5,154.35
HGST_20HUH721212ALN604,GRU,56,test,row_opt,0.038,9,94,59,50,927,162,977,153,0.058824,0.055556,0.057143,0.051177,0.087379,312.52,221.0,306.95
